Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
AL1,"523,572",,"283,737","439,081","646,923","897,361",,613,586,599,19.0,12%,"1,293",,"1,011","1,436",,,,,,3.0%,132%,8%,13%,17%,95,East of England,"36,253",52%,15%,49%,"61,500",2.0,15%,20%
AL2,"531,414",,"241,667","369,023","548,408","749,996",,512,469,491,11.0,11%,"1,350",,,,,,,,,3.0%,132%,2%,5%,11%,83,East of England,"23,314",36%,18%,32%,"51,800",3.0,10%,12%
AL3,"598,768",,"254,000","459,403","621,463","855,185",,607,540,573,16.0,20%,"1,267",,,,,,,,,2.5%,117%,5%,12%,19%,82,East of England,"27,971",49%,14%,44%,"59,000",3.0,15%,13%
AL4,"630,719",,"235,833","363,044","639,677","907,969",,585,530,557,13.0,19%,"1,271",,,,,,,,,2.4%,,1%,4%,15%,66,East of England,"27,203",42%,14%,42%,"56,200",3.0,12%,10%
AL5,"698,319",,"257,989","435,266","707,021","1,024,857",,642,581,612,16.0,16%,"1,441",,,"1,257",,,,,,2.5%,140%,-1%,-1%,19%,55,East of England,"30,449",52%,10%,56%,"63,200",3.0,8%,12%
AL6,"717,362",,,,"574,231","788,997",,475,461,468,6.0,23%,,,,,,,,,,,,7%,14%,4%,57,East of England,"11,179",36%,17%,47%,"58,500",3.0,9%,8%
AL7,"354,002",,"217,321","285,172","420,102","563,833",,444,413,428,14.0,19%,"1,088",,,,,,,,,3.7%,113%,4%,8%,12%,114,East of England,"33,930",27%,22%,23%,"46,800",2.0,38%,9%
AL8,"496,779",,"281,667","396,000","537,229","874,583",,492,485,489,4.0,11%,"1,221",,,,,,,,,3.0%,,-7%,9%,7%,120,East of England,"13,362",39%,18%,38%,"52,300",3.0,23%,8%
AL9,"604,093",,,"380,947","626,082","894,684",,,471,471,5.0,8%,"1,334",,,,,,,,,2.7%,,13%,16%,19%,102,East of England,"10,636",30%,21%,35%,"48,800",3.0,9%,13%
AL10,"355,632",,,"288,313","387,203","521,663",,410,385,398,14.0,24%,"1,559",,948,"1,192","1,422","1,611","2,282",523,,5.3%,59%,3%,11%,16%,135,East of England,"35,360",27%,22%,18%,"43,100",3.0,33%,24%
